catalog-number,class-info,class-info href,class-info 2,class-section,class-days,time,ENRL/MAX,class-status
AAS 201 / PHI 291,African American Studies and the Philosophy of Race,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015230,Class #20012,L01,M W,12:30 pm - 01:20 pm,108/127,
AAS 300,Junior Seminar: Research and Writing in African American Studies,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014652,Class #20019,S01,T,01:30 pm - 04:20 pm,10-Oct,Closed
AAS 302 / SOC 303 / ANT 378 / GHP 302,Political Bodies: The Social Anatomy of Power & Difference,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013482,Class #23620,S01,W,01:30 pm - 04:20 pm,0/0,Canceled
AAS 303 / HUM 306 / GSS 406,Topics in Global Race and Ethnicity: Scientific Racism: Then and Now,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014930,Class #22092,S01,T Th,08:30 am - 09:50 am,20/15,Closed
AAS 306 / AMS 305,Topics in Race and Public Policy: Race and Inequality in American Democracy,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014970,Class #23157,S01,M W,11:00 am - 12:20 pm,13/13,Closed
AAS 313 / HIS 213 / LAS 377,Modern Caribbean History,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014422,Class #23621,L01,M W,10:00 am - 10:50 am,0/0,Canceled
AAS 326 / ENG 286,Topics in African American Culture & Life: Early African American Literature,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015362,Class #23190,L01,T Th,10:00 am - 10:50 am,19/21,Closed
AAS 339 / EGR 339,"Black Mirror: Race, Technology, and Justice",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015676,Class #22594,S01,M,01:30 pm - 03:20 pm,17/18,Closed
AAS 351 / GSS 351,"Law, Social Policy, and African American Women",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010574,Class #23618,L01,T Th,10:00 am - 10:50 am,0/0,Canceled
AAS 353 / ENG 352,African American Literature: Origins to 1910,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000008,Class #20008,L01,T Th,10:00 am - 10:50 am,0/0,Canceled
AAS 358 / REL 379 / GSS 359,Sexuality and Religion in America,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011708,Class #20020,S01,W,01:30 pm - 04:20 pm,15-Nov,
AAS 367 / HIS 387,African American History Since Emancipation,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=003426,Class #20026,L01,T Th,11:00 am - 11:50 am,53/55,
AAS 372 / ART 374 / AMS 372,Postblack - Contemporary African American Art,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011117,Class #23624,S01,W,01:30 pm - 04:20 pm,0/0,Canceled
AAS 380 / AMS 382,Law and Public Policy in African American History,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012694,Class #20010,S01,M W,11:00 am - 12:20 pm,0/0,Canceled
AAS 392 / ENG 392 / GSS 341,Topics in African American Literature: Reading Toni Morrison,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009577,Class #20220,S01,Th,01:30 pm - 04:20 pm,12-Nov,Closed
AAS 411 / ART 471 / AFS 411,"Art, Apartheid, and South Africa",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010858,Class #20011,S01,T,04:30 pm - 07:20 pm,12-Jun,
AAS 500,African American Intellectual Tradition,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000050,Class #23616,S01,T,01:30 pm - 04:20 pm,0/0,Canceled
AAS 555,Toni Morrison: Texts and Contexts,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014919,Class #23617,S01,W,01:30 pm - 04:20 pm,0/0,Canceled
AFS 101,Beginning Yoruba I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015616,Class #22491,L01,M T W Th F,10:30 am - 11:20 am,15-May,
AFS 105,Intermediate Wolof I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014839,Class #22919,L01,M W Th,04:30 pm - 05:45 pm,15-Mar,
AFS 470,"Health, Race, and Power in Africa in the Digital Age",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015772,Class #23372,L01,W,01:30 pm - 04:20 pm,16-Sep,
AMS 101,America Then and Now,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012189,Class #20229,L01,M,01:30 pm - 02:50 pm,142/∞,
AMS 306 / GHP 411,Issues in American Public Health,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013716,Class #20669,S01,Th,01:30 pm - 04:20 pm,16/16,Closed
AMS 317 / MTD 321 / THR 322 / ENG 249,Sondheim's Musicals and the Making of America,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015617,Class #22492,S01,T,01:30 pm - 04:20 pm,12-Nov,
AMS 343 / ENG 238 / HUM 342,"Privacy, Publicity, and the Text Message",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015618,Class #22493,S01,W,01:30 pm - 03:20 pm,12-Nov,
AMS 398 / DAN 312 / GSS 346,FAT: The F-Word and the Public Body,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015155,Class #22776,S01,M,01:30 pm - 04:20 pm,12-Aug,Closed
AMS 406 / THR 447 / DAN 406,Advanced Seminar in American Studies: Performance Studies as American Studies,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015156,Class #20926,S01,M,01:30 pm - 04:20 pm,0/0,Canceled
ANT 201,Introduction to Anthropology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000146,Class #20037,L01,M W,10:00 am - 10:50 am,129/150,
ANT 231 / ENT 231,Business Anthropology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015296,Class #21150,L01,,,30/32,
ANT 300,"Ethnography, Evidence and Experience",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012473,Class #21693,L01,W,01:30 pm - 02:50 pm,50/50,Closed
ANT 304,Political Anthropology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000160,Class #22012,S01,T Th,11:00 am - 12:20 pm,13/15,
ANT 305 / HLS 305,Psychological Anthropology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011188,Class #21120,C01,T Th,03:00 pm - 04:20 pm,0/0,Canceled
ANT 337 / GSS 279,Queer Becomings,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015677,Class #22595,C01,M W,11:00 am - 12:20 pm,15-Dec,Closed
ANT 347,"Culture, Media, and Data",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010826,Class #21618,C01,T Th,01:30 pm - 02:50 pm,15-Dec,Closed
ANT 360 / CHV 360,Ethics in Context: Uses and Abuses of Deception and Disclosure,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010234,Class #22622,S01,T Th,01:30 pm - 02:50 pm,15/15,Closed
ANT 369 / AFS 369,Reading Africa: Anthropological Approaches to the Continent,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015678,Class #22596,S01,T Th,01:30 pm - 02:50 pm,0/0,Canceled
ANT 390,History of Anthropological Theory,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000199,Class #22567,L01,W,01:30 pm - 02:50 pm,25/30,Closed
ANT 419 / AMS 417 / GSS 423 / LAS 419,"Race, Gender, Empire",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015619,Class #22494,S01,Th,01:30 pm - 04:20 pm,13/15,Closed
ANT 452 / SOC 452 / ENV 452,Alternative Economies: Before (and after) Growth,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015620,Class #22495,S01,M,01:30 pm - 04:20 pm,13/15,Closed
ANT 501,Proseminar in Anthropology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000220,Class #21119,S01,W,01:30 pm - 02:50 pm,5-Apr,
ANT 501,Proseminar in Anthropology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000220,Class #21119,S01,F,10:00 am - 11:20 am,5-Apr,
ANT 503A,Co-seminar in Anthropology (Half-Term): Critical Race Theory,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014653,Class #21057,S01,T,09:00 am - 11:50 am,14/12,Closed
ANT 503B,Co-seminar in Anthropology (Half-Term): The Self and the Person,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014654,Class #20929,S01,T,09:00 am - 11:50 am,15/12,Closed
AOS 527 / GEO 527,Atmospheric Radiative Transfer,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=007316,Class #20086,L01,Th,09:30 am - 10:50 am,8/∞,
AOS 527 / GEO 527,Atmospheric Radiative Transfer,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=007316,Class #20086,L01,F,02:30 pm - 03:50 pm,8/∞,
AOS 571,Introduction to Geophysical Fluid Dynamics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=007319,Class #20088,L01,M W,02:30 pm - 04:00 pm,12/∞,
AOS 575,Numerical Prediction of the Atmosphere and Ocean,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=007323,Class #20087,L01,T Th,03:30 pm - 05:00 pm,16/∞,
APC 503 / AST 557,Analytical Techniques in Differential Equations,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=007858,Class #20700,L01,M W,01:00 pm - 02:20 pm,20/20,Closed
APC 524 / MAE 506 / AST 506,Software Engineering for Scientific Computing,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011475,Class #20701,L01,T Th,11:00 am - 12:20 pm,43/80,
ARA 101,Elementary Arabic I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000488,Class #20702,C01,M T W Th F,09:00 am - 09:50 am,9-Jul,
ARA 101,Elementary Arabic I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000488,Class #20707,C02,M T W Th F,10:00 am - 10:50 am,9-Aug,
ARA 101,Elementary Arabic I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000488,Class #20703,C03,M T W Th F,12:30 pm - 01:20 pm,9-Jun,
ARA 101,Elementary Arabic I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000488,Class #23657,C04,M T W Th F,09:00 am - 09:50 am,9-Jul,
ARA 105,Intermediate Arabic I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000490,Class #20708,C01,M T W Th F,10:00 am - 10:50 am,12-Aug,
ARA 105,Intermediate Arabic I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000490,Class #20709,C02,M T W Th F,12:30 pm - 01:20 pm,12-Nov,
ARA 107,Intermediate Arabic II,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000491,Class #20716,C01,M T W Th F,09:00 am - 09:50 am,0/0,Canceled
ARA 301,Advanced Arabic I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000495,Class #20720,C01,M W F,11:00 am - 12:20 pm,0/0,Canceled
ARA 301,Advanced Arabic I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000495,Class #23137,C02,T Th F,08:30 am - 09:50 am,12-Apr,
ARA 303,Media Arabic I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010438,Class #20722,C01,M W,11:00 am - 12:20 pm,12-Jun,
ARA 305,Levantine Colloquial Arabic,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010831,Class #22951,C01,M W,11:00 am - 12:20 pm,12-Jul,
ARA 307,Egyptian Colloquial Arabic,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011263,Class #20721,C01,T Th,11:00 am - 12:20 pm,0/0,Canceled
ARA 403,Topics in Arabic Language and Culture: The Modern Debate between Secularists and Islamists in the Arab World,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013234,Class #20723,C01,M W,11:00 am - 12:20 pm,12-Jun,
ARC 203,Introduction to Architectural Thinking,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000283,Class #21438,L01,T Th,11:00 am - 11:50 am,40/80,
ARC 205 / URB 205 / LAS 225 / ENV 205,Interdisciplinary Design Studio,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014225,Class #21427,U01,T Th,01:30 pm - 04:20 pm,12-Oct,Closed
ARC 308 / ART 328,History of Architectural Theory,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000293,Class #21434,L01,W,11:00 am - 12:20 pm,23/30,
ARC 311,Building Science and Technology: Building Systems,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000295,Class #21432,L01,W,01:30 pm - 02:50 pm,15/16,
ARC 322,"History of Comparative Architecture: The Expanded Field. Tensions, Analogies, and Exchanges",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014601,Class #21430,L01,M W,11:00 am - 12:20 pm,0/0,Canceled
ARC 350,Junior Studio,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013800,Class #21444,U01,T Th,01:30 pm - 04:20 pm,15/8,Closed
ARC 350,Junior Studio,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013800,Class #21445,U02,T Th,01:30 pm - 04:20 pm,0/8,Closed
ARC 401 / URB 401,Theories of Housing and Urbanism,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000301,Class #21431,S01,M,01:30 pm - 04:20 pm,15-Dec,
ARC 403,Topics in the History and Theory of Architecture,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000303,Class #21429,S01,T,01:30 pm - 04:20 pm,20-Jul,
ARC 404,Advanced Design Studio,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009672,Class #21428,U01,W F,01:30 pm - 04:20 pm,15-Jul,
ARC 501,Architecture Design Studio,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000326,Class #21446,U01,M Th,01:30 pm - 05:50 pm,22/22,Closed
ARC 503,Integrated Building Studios,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000330,Class #21447,U01,W,01:30 pm - 05:50 pm,10-Sep,
ARC 503,Integrated Building Studios,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000330,Class #21447,U01,F,01:30 pm - 05:50 pm,10-Sep,
ARC 504,Integrated Building Studios,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000333,Class #21448,U01,T,01:30 pm - 05:50 pm,10-Oct,Closed
ARC 504,Integrated Building Studios,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000333,Class #21448,U01,F,01:30 pm - 05:50 pm,10-Oct,Closed
ARC 505A,Architecture Design Studio,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000338,Class #21449,U01,T,01:30 pm - 05:50 pm,10-Oct,Closed
ARC 505A,Architecture Design Studio,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000338,Class #21449,U01,F,01:30 pm - 05:50 pm,10-Oct,Closed
ARC 505B,Architecture Design Studio,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000339,Class #21450,U01,W,01:30 pm - 05:50 pm,10-Oct,Closed
ARC 505B,Architecture Design Studio,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000339,Class #21450,U01,F,01:30 pm - 05:50 pm,10-Oct,Closed
ARC 505C,Architecture Design Studio,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=008978,Class #21467,U01,T,01:30 pm - 05:50 pm,10-Nov,Closed
ARC 505C,Architecture Design Studio,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=008978,Class #21467,U01,F,01:30 pm - 05:50 pm,10-Nov,Closed
ARC 507,Thesis Studio,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000341,Class #21451,U01,W,01:30 pm - 05:50 pm,10-Sep,
ARC 510,Structural Analysis for Architecture,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000344,Class #21460,L01,T,01:30 pm - 04:20 pm,20/20,Closed
ARC 514,"The Environmental Engineering of Buildings, Part I",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000347,Class #21461,S01,M,01:30 pm - 04:20 pm,15-Nov,
ARC 519,"Climate Change, Adaptation and Urban Design",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012550,Class #23118,S01,Th,10:00 am - 12:50 pm,16-Dec,
ARC 521,Elemental Building Function,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012554,Class #21462,S01,Th,01:30 pm - 04:20 pm,15-Aug,
ARC 522,"Architecture, Film and the Spatial Imaginary",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015330,Class #23159,S01,M,10:00 am - 12:50 pm,21/18,Closed
ARC 530,M.Arch. Thesis Seminar,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012555,Class #21452,S01,F,10:00 am - 12:50 pm,25/25,Closed
ARC 531,Proseminar for Post-Professional M.Arch.,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013406,Class #21453,S01,F,10:00 am - 12:50 pm,10-Aug,
ARC 544,Architecture under the Sign of Catastrophe: Resilience and Resistance,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015314,Class #22662,S01,Th,10:00 am - 12:50 pm,0/0,Canceled
ARC 545,The Philosophy of Urban History,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012183,Class #21458,S01,W,01:30 pm - 04:20 pm,0/0,Canceled
ARC 547,Introduction to Formal Analysis,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000378,Class #21454,S01,W,01:30 pm - 04:20 pm,24/22,Closed
ARC 548 / ART 585,Histories and Theories of 19th-Century Architecture: How the History of the Earth Impinges on Architecture,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015297,Class #21456,S01,T,10:00 am - 12:50 pm,0/0,Canceled
ARC 560,Topics in Contemporary Architecture & Urbanism: The Posthuman City,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010580,Class #21455,S01,T,10:00 am - 12:50 pm,12-Dec,Closed
ARC 560A,"Topics in Contemporary Architecture and Urbanism: My House, Our City",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015542,Class #22055,S01,W,06:00 pm - 08:50 pm,0/0,Canceled
ARC 562,Introduction to the Architecture Profession,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000388,Class #21465,S01,M,10:00 am - 12:50 pm,23/20,Closed
ARC 571 / ART 581 / MOD 573,Research in Architecture: Architecture in the Age of Pandemics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000395,Class #21951,S01,T,01:30 pm - 04:20 pm,10-Aug,
ARC 573,"Pro Seminar: Computation, Energy, Technology in Architecture",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013162,Class #21468,S01,T,10:00 am - 12:50 pm,10-Mar,
ARC 574,Computational Fabrication in Architecture,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000405,Class #21463,S01,T,10:00 am - 12:50 pm,0/0,Canceled
ARC 575,Advanced Topics in Modern Architecture: The Nature of Materials Revisited,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000383,Class #23115,S01,Th,10:00 am - 12:50 pm,21/15,Closed
ARC 577 / MOD 577,Topics in Contemporary Architectural Theory: Inchoate Architecture - Building at the Edge of Nature,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000387,Class #21457,S01,W,10:00 am - 12:50 pm,27/15,Closed
ARC 584,"Architecture, Media, and Climate",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013462,Class #23120,S01,T,10:00 am - 12:50 pm,17/18,
ARC 594 / MOD 504 / HUM 593 / ART 584,Topics in Architecture: Building Life: Pre-Architecture - A Primer,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013619,Class #21466,S01,Th,01:30 pm - 04:20 pm,19/20,
ART 100,An Introduction to the History of Art: Meanings in the Visual Arts,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010069,Class #20131,L01,,,69/120,
ART 212,Neoclassicism through Impressionism,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000528,Class #21820,L01,,,55/55,Closed
ART 214,Contemporary Art: 1950 - 2000,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000530,Class #20741,L01,T Th,10:00 am - 10:50 am,20/50,
ART 217 / EAS 217,The Arts of Japan,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000533,Class #20690,L01,T Th,11:00 am - 11:50 am,0/0,Canceled
ART 260 / AAS 260 / AFS 260,Introduction to African Art,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011713,Class #20749,L01,T Th,01:30 pm - 02:20 pm,0/0,Canceled
ART 272,Rage against the Machine: Art and Politics in America,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014179,Class #23103,L01,,,40/40,Closed
ART 348,Masters and Movements of 20th-Century Photography,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000591,Class #22617,C01,M W,07:30 pm - 08:50 pm,20-Aug,
ART 365 / LAS 370 / ANT 365,Olmec Art,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011553,Class #20130,C01,T,01:30 pm - 04:20 pm,8-Aug,Closed
ART 368 / AMS 368,"American Museums: History, Theory, and Practice",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009324,Class #20937,C01,W,01:30 pm - 04:20 pm,0/0,Canceled
ART 385 / EAS 385,Art and Power in China,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015621,Class #22496,C01,M W,11:00 am - 12:20 pm,0/0,Canceled
ART 394 / NES 384,Arts of the Islamic World,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015679,Class #22597,L01,,,18/25,
ART 400,Junior Seminar,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010107,Class #20141,S01,Th,01:30 pm - 03:20 pm,20-Sep,
ART 419 / LAS 429,Art and Architecture in New Spain (Mexico) 1521-1821,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015631,Class #22506,S01,M,01:30 pm - 04:20 pm,0/0,Canceled
ART 442,Master Drawings,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000626,Class #20693,S01,T,01:30 pm - 04:20 pm,0/0,Canceled
ART 443 / LAS 443,Global Exchange in Art and Architecture,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009945,Class #22935,S01,T,01:30 pm - 04:20 pm,0/0,Canceled
ART 454,Topics in the History of Photography: Inventing Photography,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=008128,Class #23158,S01,M,01:30 pm - 04:20 pm,8-Apr,
ART 478 / HIS 476 / HUM 476 / MED 476,The Vikings: History and Archaeology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014496,Class #22755,S01,T Th,01:30 pm - 02:50 pm,10-Dec,Closed
ART 500,Proseminar in the History of Art,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000630,Class #20025,S01,W,10:00 am - 12:50 pm,10-Nov,Closed
ART 502A,The Graduate Seminar,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013814,Class #20035,L01,Th,04:30 pm - 06:00 pm,20/21,
ART 514 / GSS 514,Masculinity & Modern Art,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015713,Class #22803,S01,W,10:00 am - 12:50 pm,0/0,Canceled
ART 520 / CLA 525 / NES 501,Social Identities in Ancient Egypt,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015714,Class #22804,S01,Th F,02:00 pm - 03:30 pm,12-Jun,
ART 537 / MED 500,Seminar in Medieval Art: Viewpoints on Medieval Sculpture,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000650,Class #20027,S01,T,01:30 pm - 04:20 pm,12-May,
ART 548,The Color of Monochrome Sculpture,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014079,Class #20028,S01,W,01:30 pm - 04:20 pm,0/0,Canceled
ART 553 / GER 553,Seminar in Central European Art,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000665,Class #20029,S01,Th,10:00 am - 12:50 pm,12-May,
ART 564,Seminar in 19th-Century Art: Manet and the Methods of Art History,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000671,Class #20036,S01,W,01:30 pm - 04:20 pm,0/0,Canceled
ART 565,Seminar in Modernist Art and Theory: Modernism and Socialism,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000672,Class #20033,S01,M,10:00 am - 12:50 pm,14/13,Closed
ART 569 / EAS 569,State of the Field: Historiography of Chinese Painting,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014567,Class #20030,S01,F,01:30 pm - 04:20 pm,0/0,Canceled
ART 574,Seminar in Japanese Art and Archaeology: Appropriation and the Arts in Pre-Meiji Japan,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000680,Class #20031,S01,M,09:00 am - 11:50 am,4-Mar,
ASA 224 / ENG 224 / GSS 226,Asian American Literature and Culture,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015492,Class #22670,L01,T Th,11:00 am - 12:20 pm,0/0,Canceled
ASA 324 / AMS 324 / ENG 244,Model Minority Fictions,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015765,Class #23192,S01,T Th,11:00 am - 12:20 pm,12-Sep,
AST 255 / CHM 255 / GEO 255,Life in the Universe,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009408,Class #22020,L01,M W,01:30 pm - 02:50 pm,26/35,
AST 303,Deciphering the Universe: Research Methods in Astrophysics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010163,Class #20095,L01,M W,03:00 pm - 04:20 pm,20/45,
AST 517,Diffuse Matter in Space,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000731,Class #20096,L01,T Th,09:30 am - 10:50 am,20-Oct,
AST 521,Introduction to Plasma Astrophysics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013659,Class #20098,C01,M W,11:00 am - 12:20 pm,17/20,
AST 541,Seminar in Theoretical Astrophysics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000738,Class #20097,S01,Th F,11:00 am - 12:00 pm,22/35,
AST 551 / MAE 525,General Plasma Physics I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000742,Class #20862,C01,M W,10:00 am - 10:50 am,30-Dec,
AST 551 / MAE 525,General Plasma Physics I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000742,Class #20862,C01,F,10:00 am - 12:00 pm,30-Dec,
AST 553,Plasma Waves and Instabilities,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000744,Class #20863,C01,M W,09:00 am - 10:20 am,15-Jul,
AST 555,Fusion Plasmas & Plasma Diagnostics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000746,Class #20864,C01,M W,03:00 pm - 04:15 pm,30-Sep,
AST 558,Seminar in Plasma Physics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000749,Class #20865,S01,F,02:00 pm - 03:00 pm,15/30,
AST 559 / APC 539,Turbulence and Nonlinear Processes in Fluids and Plasmas,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000750,Class #21123,C01,T Th,03:00 pm - 04:20 pm,22/30,
ATL 497 / VIS 497,Princeton Atelier: The Art of the Olfactory,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=003863,Class #22479,C01,T,01:30 pm - 04:20 pm,0/0,Canceled
