catalog-number,class-info,class-info href,class-info 2,class-section,class-days,time,ENRL/MAX,class-status
EAS 526,Research Seminar in Ancient and Medieval Japanese History,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013145,Class #21165,S01,T,01:30 pm - 04:20 pm,16-Jan,
EAS 529,Readings in East Asian Film and Media,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014397,Class #21238,S01,Th,01:30 pm - 04:20 pm,10-May,
EAS 533,Readings in Chinese Literature: Tang Narratives,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001321,Class #21593,S01,W,01:30 pm - 04:20 pm,15-Aug,
EAS 542,Modern Japanese Prose,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001327,Class #20897,S01,W,01:30 pm - 04:20 pm,10-Apr,
EAS 543,Classical Japanese Poetics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001328,Class #20768,S01,M,01:30 pm - 04:20 pm,10-Feb,
EAS 545,Readings in Kanbun,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011765,Class #20909,C01,T Th,04:30 pm - 05:50 pm,12-Feb,
EAS 554,Manuscripts of Medieval China (400 - 1400),https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014398,Class #20769,S01,Th,01:30 pm - 04:20 pm,15-Aug,
EAS 563,Readings in Japanese Academic Style,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011766,Class #20911,C01,M W,08:30 am - 09:50 am,10-Mar,
EAS 575,Photographic Thought/Sensation/Materiality in Japanese Literary and Visual Media,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014923,Class #20770,S01,M,01:30 pm - 04:20 pm,0/0,Canceled
ECO 100,Introduction to Microeconomics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001381,Class #21263,L01,,,318/330,
ECO 101,Introduction to Macroeconomics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001380,Class #21275,L01,T Th,11:00 am - 11:50 am,131/260,
ECO 202,Statistics and Data Analysis for Economics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001386,Class #21288,L01,M W,01:30 pm - 02:50 pm,70/250,
ECO 300,Microeconomic Theory,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001388,Class #21293,L01,T Th,11:00 am - 12:20 pm,92/150,
ECO 301,Macroeconomics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001387,Class #22826,L01,T Th,03:00 pm - 04:20 pm,21/130,
ECO 302,Econometrics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001389,Class #21300,L01,M W,01:30 pm - 02:50 pm,107/150,
ECO 310,Microeconomic Theory: A Mathematical Approach,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001391,Class #21305,L01,,,131/140,
ECO 311,Macroeconomics: A Mathematical Approach,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001390,Class #21312,L01,T Th,03:00 pm - 04:20 pm,16/80,
ECO 312,Econometrics: A Mathematical Approach,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001392,Class #21317,L01,M W,01:30 pm - 02:50 pm,59/120,
ECO 317,The Economics of Uncertainty,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001413,Class #22733,L01,T Th,11:00 am - 12:20 pm,30-Jun,
ECO 321,Firm Competition and Strategy,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001397,Class #21352,L01,M W,01:30 pm - 02:50 pm,0/0,Canceled
ECO 322,Econometric Tools for Research in Macroeconomics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015405,Class #21669,L01,M W,01:30 pm - 02:50 pm,0/0,Canceled
ECO 324,Law and Economics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001410,Class #21351,L01,T Th,11:00 am - 12:20 pm,29/60,
ECO 325,Organization and Design of Markets,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013264,Class #21368,L01,T Th,11:00 am - 12:20 pm,24/30,
ECO 326,Economics of the Internet: The Digital Revolution,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012512,Class #21321,L01,T Th,03:00 pm - 04:20 pm,33/60,
ECO 331,Economics of the Labor Market,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001400,Class #21322,L01,M W,11:00 am - 12:20 pm,30/40,
ECO 342,Money and Banking,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001415,Class #21329,L01,M W,01:30 pm - 02:50 pm,Aug-60,
ECO 362,Financial Investments,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001403,Class #21354,L01,T Th,01:30 pm - 02:50 pm,267/400,
ECO 372 / EPS 342,Economics of Europe,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009251,Class #21365,L01,T Th,04:30 pm - 05:50 pm,16/40,
ECO 416,Fintech,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015644,Class #22522,L01,M W,08:30 am - 09:50 am,24/40,
ECO 418,Strategy and Information,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=008613,Class #21336,L01,M W,11:00 am - 12:20 pm,23/40,
ECO 464,Corporate Restructuring,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001431,Class #22094,L01,T,01:30 pm - 04:20 pm,0/0,Canceled
ECO 466,Fixed Income: Models and Applications,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=008752,Class #21366,L01,T Th,01:30 pm - 02:50 pm,Feb-30,
ECO 467,"Institutional Finance, Trading, and Markets",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009999,Class #21339,L01,M,01:30 pm - 04:20 pm,Sep-40,
ECO 491,Cases in Financial Risk Management,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010942,Class #21341,L01,T Th,08:30 am - 09:50 am,28/60,
ECO 494,Chinese Financial and Monetary Systems,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013334,Class #21343,L01,T Th,03:00 pm - 04:20 pm,15/40,
ECO 501,Microeconomic Theory I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001435,Class #21952,L01,T Th,01:00 pm - 02:30 pm,25/30,
